##Sample=contains best values from all samples: Colo829BL-ready, Colo829-ready, Horizon-ready
#Chr	Start	End	Size	Gene	Strand	Feature	Biotype	Min depth	Ave depth	Std dev	W/n 20% of ave depth	1x	5x	10x	25x	50x	100x	500x	1000x	5000x	10000x	50000x
chr10	43572474	43625799	3377	RET	+	Whole-Gene	protein_coding	0	0.631921824104	3.50377261153	0	0.000512289013918	0.000216168196624	0.000216168196624	0	0	0	0	0	0	0	0
chr10	63661058	63856703	3571	ARID5B	+	Whole-Gene	protein_coding	5717	15187.7961355	3669.32293241	0.00587230467656	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00914309717166	0
chr10	89622869	89731687	1212	PTEN	+	Whole-Gene	protein_coding	2544	14566.6105611	4109.09284555	0.00597359735974	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00975247524752	0.00852310231023	0
chr10	112327448	112364394	3654	SMC3	+	Whole-Gene	protein_coding	3772	12931.2556103	4046.81223431	0.00385604816639	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00988779419814	0.00704707170224	0
chr10	112679300	112773425	1749	SHOC2	+	Whole-Gene	protein_coding	0	0.0354488279017	0.263895881748	0	0.000177244139508	0	0	0	0	0	0	0	0	0	0
chr10	123237847	123357972	2854	FGFR2	.	Whole-Gene	protein_coding	145	16589.8570427	3337.67451531	0.00721793973371	0.01	0.01	0.01	0.01	0.01	0.01	0.00997897687456	0.00997897687456	0.00994043447793	0.00970918009811	0
chr11	532241	537287	633	HRAS	.	Whole-Gene	protein_coding	0	0.085308056872	0.284938853031	0	0.000837282780411	0	0	0	0	0	0	0	0	0	0
chr11	32409320	32457176	1564	WT1	.	Whole-Gene	protein_coding	8460	15625.1508951	3365.85561951	0.00601023017903	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00952046035806	0
chr11	45907201	45928016	2207	MAPK8IP1	+	Whole-Gene	protein_coding	7268	15633.4947893	3954.65415331	0.00601721794291	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00895333031264	0
chr11	65265232	65273940	5605	MALAT1	+	Whole-Gene	lincRNA	3331	13176.6356824	4461.51835213	0.00426940231936	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0096913470116	0.00743086529884	0
chr11	69455854	69469242	745	CCND1	+	Whole-Gene	protein_coding	7980	16997.9812081	3238.00041697	0.00679194630872	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00977181208054	0
chr11	108093210	108239829	9171	ATM	+	Whole-Gene	protein_coding	1714	11983.1216879	3361.21709051	0.0056384254716	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00972849198561	0.00748664267801	0
chr11	119076751	119178859	2721	CBL	+	Whole-Gene	protein_coding	0	1.9026093348	7.36857635394	0.000308710033076	0.00172730613745	0.000933480338111	0.000793825799338	0.000363836824697	0	0	0	0	0	0	0
chr11	125495035	125546150	1704	CHEK1	+	Whole-Gene	protein_coding	2	0.156103286385	1.34315589397	0	0.00056338028169	1.76056338028e-05	1.76056338028e-05	1.76056338028e-05	0	0	0	0	0	0	0
chr12	4382937	4414516	1064	CCND2	+	Whole-Gene	protein_coding	0	0.101503759398	0.340054166938	0	0.000892857142857	0	0	0	0	0	0	0	0	0	0
chr12	12867991	12875305	479	CDKN1B	+	Whole-Gene	protein_coding	9655	15514.6221294	3220.61643259	0.00659707724426	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00985386221294	0
chr12	25357722	25403870	708	KRAS	.	Whole-Gene	protein_coding	8238	13292.5254237	3816.88524783	0.0049011299435	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00762711864407	0
chr12	31944122	31945175	408	H3F3C	.	Whole-Gene	protein_coding	16733	19797.4926471	1554.93314274	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0
chr12	40590545	40763087	7623	LRRK2	+	Whole-Gene	protein_coding	3541	13243.1137348	3618.51936856	0.00533123442214	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00993178538633	0.00789321789322	0
chr12	46123447	46301823	5531	ARID2	+	Whole-Gene	protein_coding	0	0.219670945579	1.28325232893	0	0.000334478394504	0.000307358524679	5.42397396492e-05	0	0	0	0	0	0	0	0
chr12	49412757	49453557	16662	KMT2D	.	Whole-Gene	protein_coding	7991	19076.0208858	3832.49855671	0.00780818629216	0.00997119193374	0.00997119193374	0.00997119193374	0.00997119193374	0.00997119193374	0.00997119193374	0.00997119193374	0.00997119193374	0.00997119193374	0.00994118353139	0
chr12	52345450	52390862	1883	ACVR1B	+	Whole-Gene	protein_coding	2902	15460.3690919	3395.02861602	0.00749867233139	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00988316516198	0.00942113648433	0
chr12	56473640	56497289	4212	ERBB3	+	Whole-Gene	protein_coding	0	0.498575498575	2.78737621374	0	0.000565052231719	0.000394112060779	0.000137701804368	0	0	0	0	0	0	0	0
chr12	58141509	58149796	912	CDK4	.	Whole-Gene	protein_coding	0	5.50657894737	16.0091106369	0	0.00201754385965	0.00201754385965	0.00117324561404	0.00117324561404	0.000603070175439	0	0	0	0	0	0
chr12	69201955	69239214	1296	MDM2	+	Whole-Gene	protein_coding	0	0.207561728395	0.760302639884	0	0.000694444444444	0	0	0	0	0	0	0	0	0	0
chr12	78224684	78606790	7302	NAV3	+	Whole-Gene	protein_coding	1240	13677.1474938	4053.99482267	0.00544919200219	0.01	0.01	0.01	0.00996713229252	0.00996713229252	0.00996713229252	0.00996713229252	0.00996713229252	0.00979183785264	0.00826622843057	0
chr12	112856154	112947717	1822	PTPN11	+	Whole-Gene	protein_coding	7456	15197.8951701	3999.54058277	0.00574094401756	0.00980241492865	0.00980241492865	0.00980241492865	0.00980241492865	0.00980241492865	0.00980241492865	0.00980241492865	0.00980241492865	0.00980241492865	0.00905598243688	0
chr12	115108058	115121969	2232	TBX3	.	Whole-Gene	protein_coding	9525	16132.9135305	2116.53200193	0.00882168458781	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00997759856631	0
chr12	120105557	120119435	813	PRKAB1	+	Whole-Gene	protein_coding	0	1.84009840098	5.54432134073	0	0.0010332103321	0.0010332103321	0.0010332103321	4.92004920049e-05	0	0	0	0	0	0	0
chr13	28577410	28674729	2991	FLT3	.	Whole-Gene	protein_coding	5187	14212.8672685	3933.30477055	0.0061049816115	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00876629889669	0
chr13	32889610	32973805	10257	BRCA2	+	Whole-Gene	protein_coding	1888	12273.5745345	3377.55764706	0.00529394559813	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00989958077411	0.00740274934191	0
chr13	48877886	49056122	2787	RB1	+	Whole-Gene	protein_coding	417	9739.07499103	3862.03407559	0.00338715464657	0.01	0.01	0.01	0.01	0.01	0.01	0.00988518119842	0.00988518119842	0.00879440258342	0.00510943667025	0
chr14	23440382	23451851	1721	AJUBA	.	Whole-Gene	protein_coding	8841	16464.9244625	3581.10736026	0.00708890180128	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00966879721092	0
chr14	38059188	38069245	1419	FOXA1	.	Whole-Gene	protein_coding	11107	19298.7709655	3940.86870636	0.00615221987315	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0
chr14	68286495	69196935	1490	RAD51B	+	Whole-Gene	protein_coding	0	1.1677852349	4.58828781003	0	0.000630872483221	0.000630872483221	0.000630872483221	0	0	0	0	0	0	0	0
chr14	105235685	105262088	1484	AKT1	.	Whole-Gene	protein_coding	14862	23781.1401617	3249.82890394	0.00852425876011	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0
chr15	38544526	38649450	1335	SPRED1	+	Whole-Gene	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr15	41913421	42062141	9361	MGA	+	Whole-Gene	protein_coding	0	0.473240038457	3.47892684875	0	0.000262792436705	0.000239290674073	0.000149556671296	8.6529216964e-05	0	0	0	0	0	0	0
chr15	66679154	66784650	1222	MAP2K1	+	Whole-Gene	protein_coding	0	1.61211129296	5.89238882927	0	0.000842880523732	0.000769230769231	0.000769230769231	0.000229132569558	0	0	0	0	0	0	0
chr15	75661719	75748183	3927	SIN3A	.	Whole-Gene	protein_coding	1816	16885.8668195	4899.56677945	0.00545963840081	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00984721161192	0.0093913929208	0
chr15	90626276	90645736	1359	IDH2	.	Whole-Gene	protein_coding	6432	17275.4297277	3443.96107104	0.0076821192053	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.009646799117	0
chr15	99192199	99507759	4104	IGF1R	+	Whole-Gene	protein_coding	0	0.186159844055	1.4048414421	0	0.000241228070175	0.000241228070175	0.000158382066277	0	0	0	0	0	0	0	0
chr16	2097465	2138716	5648	TSC2	+	Whole-Gene	protein_coding	0	0.667847025496	2.89098680612	0	0.000759560906516	0.000582507082153	0.000173512747875	4.42634560907e-05	0	0	0	0	0	0	0
chr16	2587964	2653189	1579	PDPK1	+	Whole-Gene	protein_coding	0	0.136795440152	0.860965548129	0	0.000265991133629	0.000101329955668	0	0	0	0	0	0	0	0	0
chr16	23614487	23652631	3615	PALB2	.	Whole-Gene	protein_coding	0	1.19419087137	4.16451711109	0	0.000852005532503	0.000852005532503	0.00063347164592	0	0	0	0	0	0	0	0
chr16	30125425	30134827	1197	MAPK3	.	Whole-Gene	protein_coding	0	0.918964076859	3.04370002972	0	0.00107769423559	0.000835421888053	0.000835421888053	0	0	0	0	0	0	0	0
chr16	67063018	67134961	552	CBFB	+	Whole-Gene	protein_coding	8116	13635.6413043	2370.66474311	0.0079347826087	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00920289855072	0
chr16	67596309	67673086	2184	CTCF	+	Whole-Gene	protein_coding	9310	17598.2843407	2869.32745143	0.00833791208791	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00997710622711	0
chr16	68771127	68869451	2649	CDH1	+	Whole-Gene	protein_coding	7056	15875.5722914	3141.01380558	0.00672706681767	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00962249905625	0
chr17	7565096	7590856	1365	TP53	.	Whole-Gene	protein_coding	3101	14511.7238095	5812.05006903	0.00557509157509	0.00971428571429	0.00971428571429	0.00959706959707	0.00916483516484	0.00915750915751	0.00915750915751	0.00915750915751	0.00915750915751	0.00904761904762	0.00858608058608	0
chr17	11924140	12047147	1233	MAP2K4	+	Whole-Gene	protein_coding	6021	13634.5182482	3618.67516229	0.00527169505272	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00804541768045	0
chr17	15932470	16121499	7720	NCOR1	.	Whole-Gene	protein_coding	1260	14876.1686528	4079.8519342	0.00526554404145	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00984455958549	0.0090414507772	0
chr17	29421944	29709134	8606	NF1	+	Whole-Gene	protein_coding	1980	14156.3675343	4318.71035823	0.00507669068092	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00977108993725	0.00821519869858	0
chr17	33426810	33448541	1254	RAD51D	.	Whole-Gene	protein_coding	0	1.23285486443	5.22049744796	0.000526315789474	0.00102073365231	0.000797448165869	0.000494417862839	0.000175438596491	0	0	0	0	0	0	0
chr17	37617763	37721160	4473	CDK12	+	Whole-Gene	protein_coding	5438	15299.4766376	4147.52917915	0.00578359043148	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00924882629108	0
chr17	37844166	37886679	3572	ERBB2	+	Whole-Gene	protein_coding	0	0.441209406495	2.00716271114	0	0.00148096304591	0.000355543113102	0.000181970884658	0	0	0	0	0	0	0	0
chr17	41196311	41277500	5690	BRCA1	.	Whole-Gene	protein_coding	5791	15546.8796134	3778.621397	0.00648506151142	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00934446397188	0
chr17	47676245	47755596	1125	SPOP	.	Whole-Gene	protein_coding	12515	17713.0444444	1664.50610166	0.00980444444444	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0
chr17	56048909	56065620	1155	VEZF1	.	Whole-Gene	protein_coding	8970	21778.3082251	5614.72865525	0.00611255411255	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00993073593074	0
chr17	56408244	56409869	87	MIR142	.	Whole-Gene	antisense	28235	29612.137931	1092.11896141	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0
chr17	56769933	56811703	1272	RAD51C	+	Whole-Gene	protein_coding	0	0.400943396226	1.35792539344	0	0.000801886792453	0.000801886792453	0	0	0	0	0	0	0	0	0
chr17	59758626	59940882	4010	BRIP1	.	Whole-Gene	protein_coding	0	1.62394014963	8.63165463755	0	0.000416458852868	0.000416458852868	0.000416458852868	0.000351620947631	0.000147132169576	0	0	0	0	0	0
chr17	63006832	63052957	1134	GNA13	.	Whole-Gene	protein_coding	0	0.176366843034	0.56712293442	0	0.000881834215168	0	0	0	0	0	0	0	0	0	0
chr17	63524680	63557765	2532	AXIN2	.	Whole-Gene	protein_coding	9172	20772.9146919	5026.94443009	0.00649289099526	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0099644549763	0
chr17	70117160	70122561	1530	SOX9	+	Whole-Gene	protein_coding	9938	21675.2627451	6725.4434944	0.00669281045752	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00999346405229	0
chr17	78518618	78940171	4468	RPTOR	+	Whole-Gene	protein_coding	0	0.226723366159	1.83466869703	0	0.00038048343778	0.000167860340197	0.000167860340197	0	0	0	0	0	0	0	0
chr18	42260137	42648475	4980	SETBP1	+	Whole-Gene	protein_coding	6773	18762.548996	3342.48270356	0.00803614457831	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00989357429719	0
chr18	45357921	45457515	1512	SMAD2	.	Whole-Gene	protein_coding	3166	17615.4543651	4585.45239864	0.00590608465608	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00983465608466	0.00933862433862	0
chr18	48494409	48611415	1774	SMAD4	+	Whole-Gene	protein_coding	5049	18077.9971815	4633.69810801	0.00632468996618	0.00989853438557	0.00989853438557	0.00989853438557	0.00989853438557	0.00989853438557	0.00989853438557	0.00989853438557	0.00989853438557	0.00989853438557	0.00933483652762	0
chr19	1189405	1228428	1567	STK11	+	Whole-Gene	protein_coding	11470	19060.8455648	2474.62140724	0.00876834716018	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0
chr19	3094407	3124002	1170	GNA11	+	Whole-Gene	protein_coding	0	1.87863247863	8.18789839832	0	0.000811965811966	0.000811965811966	0.000811965811966	0.000205128205128	0.000205128205128	0	0	0	0	0	0
chr19	4090318	4124126	1203	MAP2K2	.	Whole-Gene	protein_coding	0	0.427265170407	1.54036454927	0	0.000714879467997	0.000714879467997	0	0	0	0	0	0	0	0	0
chr19	10596795	10614417	1875	KEAP1	.	Whole-Gene	protein_coding	12513	20145.864	3000.11735596	0.008496	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0
chr19	11071597	11176071	5058	SMARCA4	+	Whole-Gene	protein_coding	0	0.0723606168446	0.586247420068	0	0.000460656385923	9.29221035983e-05	0	0	0	0	0	0	0	0	0
chr19	15347646	15443356	4327	BRD4	.	Whole-Gene	protein_coding	0	1.9547030275	6.17765495946	0.000203374162237	0.00147446267622	0.000986826900855	0.000917494800092	0.000231107002542	0	0	0	0	0	0	0
chr19	30302804	30315215	1251	CCNE1	+	Whole-Gene	protein_coding	0	0.902478017586	3.19197914621	0.000607513988809	0.0012549960032	0.000647482014388	0.000647482014388	0	0	0	0	0	0	0	0
chr19	31765850	31840453	3308	TSHZ3	.	Whole-Gene	protein_coding	8493	17190.3700121	3384.50302848	0.0082738814994	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00993954050786	0
chr19	33790839	33793470	1077	CEBPA	.	Whole-Gene	protein_coding	4121	12232.994429	5072.45922951	0.00453110492108	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00960074280409	0.00653667595172	0
chr19	36208920	36229779	7874	KMT2B	+	Whole-Gene	protein_coding	1867	17864.5600711	4627.51108283	0.00599314198628	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0098285496571	0.00951485902972	0
chr19	40736223	40791443	1711	AKT2	.	Whole-Gene	protein_coding	0	840.155464641	2331.04219882	0	0.00350672121566	0.00284628872005	0.00234365867914	0.00219754529515	0.00165984804208	0.00153711279953	0.00125657510228	0.00125657510228	0.000853302162478	0	0
chr19	40899674	40919273	4449	PRX	.	Whole-Gene	protein_coding	8862	20122.9842661	3558.60168272	0.0081995954147	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00997077995055	0
chr19	45853094	45874176	2336	ERCC2	.	Whole-Gene	protein_coding	7536	18328.9760274	3108.63078085	0.00784246575342	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00988869863014	0
chr19	47421932	47508334	4500	ARHGAP35	+	Whole-Gene	protein_coding	5982	18121.4082222	3667.47757158	0.00739333333333	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00986666666667	0
chr19	52693291	52730687	1904	PPP2R1A	+	Whole-Gene	protein_coding	7408	15042.897584	4768.90616604	0.00558298319328	0.00992121848739	0.00992121848739	0.00992121848739	0.00947478991597	0.00935399159664	0.00935399159664	0.00935399159664	0.00935399159664	0.00935399159664	0.0091018907563	0
chr2	16080685	16087129	1395	MYCN	+	Whole-Gene	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	25455844	25565459	2864	DNMT3A	.	Whole-Gene	protein_coding	8546	16143.5530726	3230.76128269	0.00773044692737	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00978002793296	0
chr2	29415639	30144432	5118	ALK	.	Whole-Gene	protein_coding	0	0.458772958187	2.91921987597	0	0.000359515435717	0.000195388823759	0.000195388823759	0	0	0	0	0	0	0	0
chr2	39208536	39351486	4044	SOS1	.	Whole-Gene	protein_coding	0	0.890207715134	4.38142414735	0.00040059347181	0.00120919881306	0.000808605341246	0.000494559841741	0.000111275964392	0	0	0	0	0	0	0
chr2	70314584	70316332	1071	PCBP1	+	Whole-Gene	protein_coding	15559	20984.7591036	2735.00989674	0.00878618113912	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0
chr2	99061316	99210853	3130	INPP4A	+	Whole-Gene	protein_coding	0	0.276996805112	1.41046338317	0	0.000533546325879	0.000319488817891	0	0	0	0	0	0	0	0	0
chr2	148602085	148688393	1542	ACVR2A	+	Whole-Gene	protein_coding	3997	12937.38262	3687.51645633	0.00481193255512	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00990920881971	0.00758106355383	0
chr2	178092322	178257425	1860	NFE2L2	.	Whole-Gene	protein_coding	0	15239.9193548	6466.08530795	0.00415053763441	0.00951612903226	0.00951612903226	0.00951612903226	0.00951612903226	0.00951612903226	0.00951612903226	0.00951612903226	0.00951612903226	0.00912903225806	0.00827419354839	0
chr2	198254507	198299815	4045	SF3B1	.	Whole-Gene	protein_coding	1230	14154.5280593	3790.59009317	0.00553770086527	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00988875154512	0.0087564894932	0
chr2	204732508	204738683	638	CTLA4	+	Whole-Gene	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	209100950	209130798	1245	IDH1	.	Whole-Gene	protein_coding	4447	14017.3967871	4219.62626888	0.00523694779116	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00995180722892	0.0085702811245	0
chr2	212240445	213403565	3972	ERBB4	.	Whole-Gene	protein_coding	4826	13115.5621853	3205.15180107	0.00591389728097	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00998741188318	0.00822004028197	0
chr20	22561642	22566093	1392	FOXA2	.	Whole-Gene	protein_coding	7284	14989.2650862	4939.84680814	0.00497126436782	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00835488505747	0
chr20	30946154	31027122	4717	ASXL1	+	Whole-Gene	protein_coding	4	17686.6985372	3566.37546034	0.00653169387322	0.01	0.00998728005088	0.00998728005088	0.00998728005088	0.00998728005088	0.00998728005088	0.00998728005088	0.00998728005088	0.00998728005088	0.00989612041552	0
chr20	51588945	52111869	3136	TSHZ2	+	Whole-Gene	protein_coding	7614	17938.9684311	3126.96352149	0.00722257653061	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00994897959184	0
chr20	57414772	57486247	4096	GNAS	+	Whole-Gene	protein_coding	0	0.025146484375	0.213331273958	0	0.000146484375	0	0	0	0	0	0	0	0	0	0
chr21	36160097	37376965	1568	RUNX1	.	Whole-Gene	protein_coding	8410	17738.4827806	4128.16963269	0.00829081632653	0.00977678571429	0.00977678571429	0.00977678571429	0.00977678571429	0.00977678571429	0.00977678571429	0.00977678571429	0.00977678571429	0.00977678571429	0.00952806122449	0
chr21	44513065	44527697	790	U2AF1	.	Whole-Gene	protein_coding	6862	15563.2886076	3436.4145994	0.00540506329114	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00953164556962	0
chr22	21271713	21308037	912	CRKL	+	Whole-Gene	protein_coding	0	0.0789473684211	0.269656599104	0	0.000789473684211	0	0	0	0	0	0	0	0	0	0
chr22	22108788	22221970	1083	MAPK1	.	Whole-Gene	protein_coding	0	1.44506001847	5.00410552325	0	0.000923361034164	0.000858725761773	0.000858725761773	0.000212373037858	0	0	0	0	0	0	0
chr22	29083730	29138410	1834	CHEK2	.	Whole-Gene	protein_coding	0	11661.6025082	4945.80834611	0.00458560523446	0.00970010905125	0.00943838604144	0.00916575790622	0.00916575790622	0.00916575790622	0.00916575790622	0.00916575790622	0.00916575790622	0.00892039258451	0.00716466739368	0
chr22	29999544	30094587	1731	NF2	+	Whole-Gene	protein_coding	0	0.00751010976314	0.0863348597873	0	7.51010976314e-05	0	0	0	0	0	0	0	0	0	0
chr22	41487789	41576081	7245	EP300	+	Whole-Gene	protein_coding	5107	18286.1924086	5688.33666427	0.00485024154589	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00927398205659	0
chr3	10182691	10193904	642	VHL	+	Whole-Gene	protein_coding	13064	17339.5638629	2378.71091228	0.00993769470405	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0
chr3	12625099	12705725	2007	RAF1	.	Whole-Gene	protein_coding	0	1.91330343797	9.39030537185	0	0.00039860488291	0.00039860488291	0.00039860488291	0.00039860488291	0	0	0	0	0	0	0
chr3	30647993	30735634	1779	TGFBR2	+	Whole-Gene	protein_coding	3928	16844.8285554	4613.19807481	0.00636312535132	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00995503091625	0.00905002810568	0
chr3	41236327	41301587	2346	CTNNB1	+	Whole-Gene	protein_coding	6153	16404.7783461	4051.34436187	0.00566922421142	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00962063086104	0
chr3	47057918	47205457	7650	SETD2	.	Whole-Gene	protein_coding	5309	15829.7324183	4466.21250415	0.00576732026144	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00891764705882	0
chr3	52435028	52444366	2259	BAP1	.	Whole-Gene	protein_coding	8043	19338.1934484	3445.11258079	0.00772023019035	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0099203187251	0
chr3	52579367	52719933	5115	PBRM1	.	Whole-Gene	protein_coding	2836	14491.6426197	3948.55092642	0.00582209188661	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00988269794721	0.00873313782991	0
